xflr5 v6.47

Plane name :        Cessna Citation
Polar name :        T1-120.0 m/s-VLM1-Inviscid
Freestream speed : 120.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.684299  -0.129757   0.000000  -0.129757  -0.000000  -0.000000   0.077967   0.000000   0.000000  120.0000     0.3219
   -9.000     0.000  -0.593047  -0.111828   0.000000  -0.111828  -0.000000  -0.000000   0.060384   0.000000   0.000000  120.0000     0.2874
   -8.000     0.000  -0.502483  -0.094962   0.000000  -0.094962  -0.000000  -0.000000   0.042201   0.000000   0.000000  120.0000     0.2403
   -7.000     0.000  -0.412578  -0.079206   0.000000  -0.079206  -0.000000  -0.000000   0.023441   0.000000   0.000000  120.0000     0.1726
   -6.000     0.000  -0.323298  -0.064608   0.000000  -0.064608  -0.000000  -0.000000   0.004125   0.000000   0.000000  120.0000     0.0674
   -5.000     0.000  -0.234607  -0.051207   0.000000  -0.051207  -0.000000  -0.000000  -0.015723   0.000000   0.000000  120.0000    -0.1171
   -4.000     0.000  -0.146468  -0.039044   0.000000  -0.039044  -0.000000  -0.000000  -0.036077   0.000000   0.000000  120.0000    -0.5229
   -3.000     0.000  -0.058840  -0.028153   0.000000  -0.028153  -0.000000  -0.000000  -0.056914   0.000000   0.000000  120.0000    -2.1341
   -2.000     0.000   0.028317  -0.018563   0.000000  -0.018563  -0.000000  -0.000000  -0.078209   0.000000   0.000000  120.0000     6.1590
   -1.000     0.000   0.115046  -0.010303   0.000000  -0.010303  -0.000000  -0.000000  -0.099934   0.000000   0.000000  120.0000     1.9392
    0.000     0.000   0.201391  -0.003395   0.000000  -0.003395  -0.000000  -0.000000  -0.122064   0.000000   0.000000  120.0000     1.3489
    1.000     0.000   0.287397   0.002143   0.000000   0.002143  -0.000000  -0.000000  -0.144572   0.000000   0.000000  120.0000     1.1137
    2.000     0.000   0.373111   0.006297   0.000000   0.006297  -0.000000  -0.000000  -0.167430   0.000000   0.000000  120.0000     0.9873
    3.000     0.000   0.458578   0.009056   0.000000   0.009056  -0.000000  -0.000000  -0.190611   0.000000   0.000000  120.0000     0.9083
    4.000     0.000   0.543846   0.010414   0.000000   0.010414   0.000000  -0.000000  -0.214086   0.000000   0.000000  120.0000     0.8542
    5.000     0.000   0.628962   0.010371   0.000000   0.010371   0.000000  -0.000000  -0.237826   0.000000   0.000000  120.0000     0.8148
    6.000     0.000   0.713973   0.008927   0.000000   0.008927   0.000000  -0.000000  -0.261804   0.000000   0.000000  120.0000     0.7847
    7.000     0.000   0.798926   0.006092   0.000000   0.006092   0.000000  -0.000000  -0.285988   0.000000   0.000000  120.0000     0.7609
    8.000     0.000   0.883869   0.001874   0.000000   0.001874   0.000000  -0.000000  -0.310351   0.000000   0.000000  120.0000     0.7416
    9.000     0.000   0.968846  -0.003709   0.000000  -0.003709   0.000000  -0.000000  -0.334862   0.000000   0.000000  120.0000     0.7255
   10.000     0.000   1.053904  -0.010639   0.000000  -0.010639   0.000000  -0.000000  -0.359492   0.000000   0.000000  120.0000     0.7118
   11.000     0.000   1.139086  -0.018892   0.000000  -0.018892   0.000000  -0.000000  -0.384210   0.000000   0.000000  120.0000     0.7000
   12.000     0.000   1.224435  -0.028440   0.000000  -0.028440   0.000000  -0.000000  -0.408986   0.000000   0.000000  120.0000     0.6897
   13.000     0.000   1.309993  -0.039252   0.000000  -0.039252   0.000000  -0.000000  -0.433791   0.000000   0.000000  120.0000     0.6805
   14.000     0.000   1.395799  -0.051293   0.000000  -0.051293   0.000000  -0.000000  -0.458593   0.000000   0.000000  120.0000     0.6722
   15.000     0.000   1.481891  -0.064522   0.000000  -0.064522   0.000000  -0.000000  -0.483363   0.000000   0.000000  120.0000     0.6647
   16.000     0.000   1.568305  -0.078898   0.000000  -0.078898  -0.000000  -0.000000  -0.508071   0.000000   0.000000  120.0000     0.6578
   17.000     0.000   1.655074  -0.094373   0.000000  -0.094373  -0.000000  -0.000000  -0.532686   0.000000   0.000000  120.0000     0.6514
   18.000     0.000   1.742231  -0.110899   0.000000  -0.110899  -0.000000  -0.000000  -0.557179   0.000000   0.000000  120.0000     0.6455
   19.000     0.000   1.829803  -0.128421   0.000000  -0.128421  -0.000000  -0.000000  -0.581519   0.000000   0.000000  120.0000     0.6399
   20.000     0.000   1.917816  -0.146883   0.000000  -0.146883  -0.000000  -0.000000  -0.605677   0.000000   0.000000  120.0000     0.6346


