   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000     0.000  -0.584241   0.013789   0.025698   0.039487   0.000000   0.000000   0.235245  -0.000000  -0.000000    4.0000     0.9303
   -7.000     0.000  -0.493070   0.009824   0.022172   0.031996   0.000000  -0.000000   0.196981  -0.000000   0.000000    4.0000     0.9133
   -6.000     0.000  -0.401529   0.006516   0.019819   0.026335   0.000000  -0.000000   0.158128  -0.000000   0.000000    4.0000     0.8890
   -5.000     0.000  -0.309682   0.003875   0.018521   0.022396   0.000000   0.000000   0.118660  -0.000000   0.000000    4.0000     0.8508
   -4.000     0.000  -0.217593   0.001912   0.017644   0.019556   0.000000  -0.000000   0.078497  -0.000000   0.000000    4.0000     0.7809
   -3.000     0.000  -0.125324   0.000633   0.016954   0.017587   0.000000  -0.000000   0.037662  -0.000000   0.000000    4.0000     0.6089
   -2.000     0.000  -0.032940   0.000045   0.016429   0.016474  -0.000000  -0.000000  -0.003800  -0.000000   0.000000    4.0000    -0.5259
   -1.000     0.000   0.059494   0.000150   0.015404   0.015553  -0.000000  -0.000000  -0.045948  -0.000000   0.000000    4.0000     1.8648
    0.000     0.000   0.151915   0.000949   0.014083   0.015032  -0.000000  -0.000000  -0.088732  -0.000000   0.000000    4.0000     1.3464
    1.000     0.000   0.244257   0.002442   0.014063   0.016505  -0.000000  -0.000000  -0.131783  -0.000000   0.000000    4.0000     1.2203
    2.000     0.000   0.336457   0.004626   0.014196   0.018822  -0.000000  -0.000000  -0.175231  -0.000000   0.000000    4.0000     1.1636
    3.000     0.000   0.428450   0.007494   0.014363   0.021858  -0.000000  -0.000000  -0.219095  -0.000000   0.000000    4.0000     1.1316
    4.000     0.000   0.520172   0.011041   0.014749   0.025790  -0.000000  -0.000000  -0.263303  -0.000000   0.000000    4.0000     1.1112
    5.000     0.000   0.611560   0.015256   0.015429   0.030685  -0.000000  -0.000000  -0.307799  -0.000000   0.000000    4.0000     1.0972
    6.000     0.000   0.702551   0.020129   0.016358   0.036487  -0.000000   0.000000  -0.352531  -0.000000   0.000000    4.0000     1.0871
    7.000     0.000   0.793083   0.025645   0.017740   0.043386  -0.000000  -0.000000  -0.397412  -0.000000   0.000000    4.0000     1.0798
